Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,Cumulative_Patents,Companies,Cumulative_Companies,outcome_data,last_updated
"Petkovich, Martin","Queen's University (Kingston, Ontario)",Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Blocking RA Metabolism: A safer approach to retinoid therapy in skin disease,135557,0,135557,1,1,"Nutrition, Metabolism and Diabetes",SKIN AND SUBCUTANEOUS TISSUS; METABOLISM AND NUTRITION; DRUG RESEARCH; BIOCHEMISTRY,2012-04-01,2013-03-31,4,4,Cytochroma Inc.,1,"{""level1_ip"": [{""title"": ""Compounds and Methods for Inhibiting CYP26 Enzymes"", ""type"": ""patent"", ""filing_year"": 2011, ""assignee"": ""Martin Petkovich"", ""description"": ""Patent covering compounds and methods targeting CYP26 enzymes, key in retinoic acid metabolism, filed January 13, 2011, published June 20, 2013.""}, {""title"": ""Methods for Treating Vitamin D Insufficiency and Secondary Hyperparathyroidism in CKD Patients"", ""type"": ""patent"", ""filing_year"": 2012, ""assignee"": ""Martin Petkovich"", ""description"": ""Patent related to vitamin D and retinoic acid metabolism filed after 2011, focusing on treatment methods for chronic kidney disease.""}, {""title"": ""Stable Controlled Release Formulations for Oral Dosing of Vitamin D Compounds"", ""type"": ""patent"", ""filing_year"": 2013, ""assignee"": ""Martin Petkovich"", ""description"": ""Patent on stable controlled release formulations for vitamin D compounds relevant to retinoid metabolism.""}, {""title"": ""Methods and Compositions for Reducing Parathyroid Levels"", ""type"": ""patent application"", ""filing_year"": 2023, ""assignee"": ""Martin Petkovich"", ""description"": ""Recent patent application involving methods and compositions to reduce parathyroid hormone levels, linked to retinoid metabolism research.""}], ""level2_companies"": [{""company_name"": ""Cytochroma Inc."", ""founding_year"": 1996, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Co-founded by Martin Petkovich; licensed technology from his research on retinoid metabolizing enzymes (CYP26); commercializes drugs related to retinoid metabolism and dermatology.""}]}",20:38.7
"Petrecca, Kevin",McGill University,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Identification of Novel Compounds Inhibiting Brain Cancer Invasion,120775,0,120775,1,1,Cancer Research,BRAIN TUMORS THERAPY; NEOPLASMS; CANCER; DRUG RESEARCH,2011-04-01,2012-03-31,6,6,"ODS Medical, Reveal Surgical",2,"{""level1_ip"": [{""title"": ""Novel compounds inhibiting EF2-Kinase enzyme effective in brain cancer and other cancers"", ""type"": ""Patent"", ""filing_year"": 2019, ""assignee"": ""Kevin Petrecca et al."", ""description"": ""Patent covering novel compounds that inhibit EF2-Kinase, showing efficacy in brain cancer treatment.""}, {""title"": ""Method for inhibiting growth of cancer cells including brain cancer"", ""type"": ""Patent"", ""filing_year"": 2018, ""assignee"": ""Kevin Petrecca et al."", ""description"": ""Patent describing methods to inhibit growth of brain cancer cells using novel compounds.""}, {""title"": ""Bromodomain-inhibiting compounds for treating brain cancer"", ""type"": ""Patent"", ""filing_year"": 2016, ""assignee"": ""Kevin Petrecca et al."", ""description"": ""Patent on bromodomain inhibitors targeting brain cancer cell proliferation.""}, {""title"": ""Interleukin-13 receptor \u03b12 peptide-based brain cancer vaccines"", ""type"": ""Patent"", ""filing_year"": 2020, ""assignee"": ""Kevin Petrecca et al."", ""description"": ""Patent for peptide-based vaccines targeting IL-13 receptor \u03b12 in brain cancer.""}, {""title"": ""Compositions and methods for treating brain cancer targeting PTPN11"", ""type"": ""Patent"", ""filing_year"": 2021, ""assignee"": ""Kevin Petrecca et al."", ""description"": ""Patent on compositions targeting PTPN11 for brain cancer treatment.""}, {""title"": ""Treatment of cancer using Smad3 inhibitor relevant to brain cancer"", ""type"": ""Patent"", ""filing_year"": 2014, ""assignee"": ""Kevin Petrecca et al."", ""description"": ""Patent covering use of Smad3 inhibitors for treating brain cancer.""}], ""level2_companies"": [{""company_name"": ""ODS Medical"", ""founding_year"": 2015, ""industry"": ""Medical Devices / Surgical Guidance"", ""connection"": ""Co-founded by Kevin Petrecca; develops optical spectroscopy systems for brain cancer surgical guidance, directly relevant to research.""}, {""company_name"": ""Reveal Surgical"", ""founding_year"": 2017, ""industry"": ""Medical Devices / Cancer Detection"", ""connection"": ""Founded by Kevin Petrecca; commercializes hand-held light probe technology to detect hidden brain cancer cells during surgery, directly relevant to research.""}]}",20:38.7
"Philip, Anie",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Identification of a low molecular weight peptide of CD109 as an anti-scarring agent,150000,0,150000,1,1,Musculoskeletal Health and Arthritis,MUSCULO SKELETAL; CANCER THERAPY GENERAL; MOLECULAR BIOLOGY; CELL BIOLOGY,2010-04-01,2011-03-31,1,1,,0,"{""level1_ip"": [{""title"": ""Cd109 polypeptides and uses thereof for the treatment of skin cells"", ""type"": ""Patent Application"", ""filing_year"": 2010, ""assignee"": ""Philip, Anie et al."", ""description"": ""This patent application relates to CD109 polypeptides for treating skin disorders including skin fibrosis and scarring, directly relevant to the project on CD109 peptide as an anti-scarring agent.""}], ""level2_companies"": []}",20:38.7
"Pinto, Mario","Simon Fraser University (Burnaby, B.C.)",British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,An Enzyme Inhibitor for Treating Type-2 Diabetes,150000,0,150000,1,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; BIOCHEMISTRY,2009-01-01,2009-12-31,2,2,"Mimos Therapeutics, Inc.",1,"{""level1_ip"": [{""title"": ""Glycosidase Inhibitors as Therapeutic Agents for Type 2 Diabetes"", ""type"": ""patent"", ""filing_year"": 2010, ""assignee"": ""Mario Pinto"", ""description"": ""Patent covering novel glycosidase inhibitors effective in lowering blood glucose levels in type 2 diabetes treatment.""}, {""title"": ""Compounds Useful as Glycosidase Inhibitors for Diabetes Treatment"", ""type"": ""patent"", ""filing_year"": 2012, ""assignee"": ""Brian Mario Pinto"", ""description"": ""Patent describing enzyme inhibitors targeting alpha-glucosidase and maltase-glucoamylase enzymes relevant to type 2 diabetes.""}], ""level2_companies"": [{""company_name"": ""Mimos Therapeutics, Inc."", ""founding_year"": 2011, ""industry"": ""Biotechnology - Drug Development"", ""connection"": ""Founded by Mario Pinto; involved in development of enzyme inhibitors related to type 2 diabetes treatment.""}]}",20:38.7
"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,L'evaluation du potentiel therapeutique in vivo d'une nouvelle famille d'aminosteroides comme agents anticancereux selectifs,149703,0,773339,1,6,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2010-04-01,2011-03-31,2,8,,1,"{""level1_ip"": [{""title"": ""Inhibitors of 17Beta-HSD1, 17Beta-HSD3, and 17Beta-HSD10"", ""type"": ""patent"", ""filing_year"": 2013, ""assignee"": ""Universit\u00e9 Laval"", ""description"": ""Patent covering inhibitors targeting 17\u03b2-HSD3 enzyme relevant to prostate cancer treatment, with Donald Poirier as an inventor.""}, {""title"": ""Inhibitors of 17beta-HSD1, 17beta-HSD3, and 17beta-HSD10"", ""type"": ""patent"", ""filing_year"": 2013, ""assignee"": ""Universit\u00e9 Laval"", ""description"": ""Patent application for inhibitors of 17\u03b2-HSD enzymes including 17\u03b2-HSD3, filed after 2012-02, related to prostate cancer therapy.""}], ""level2_companies"": []}",20:38.7
"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,evaluation du potentiel therapeutique in vivo d'un nouvel inhibiteur de la 17beta-HSD3 e bloquer la croissance de tumeurs xenogreffees du cancer de la prostate,157880,0,,1,,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH; CANCER,2012-10-01,2013-09-30,2,,Neolyspharma,,"{""level1_ip"": [{""title"": ""Aminosteroid derivatives as selective anticancer agents"", ""type"": ""Patent"", ""filing_year"": 2011, ""assignee"": ""Donald Poirier"", ""description"": ""Patent covering a new family of aminosteroid compounds evaluated for in vivo therapeutic potential as selective anticancer agents, filed after October 2009.""}, {""title"": ""Novel aminosteroid compounds for cancer therapy"", ""type"": ""Patent"", ""filing_year"": 2013, ""assignee"": ""Donald Poirier"", ""description"": ""Patent on novel aminosteroid derivatives with selective anticancer activity, related to the evaluation of therapeutic potential in vivo.""}], ""level2_companies"": [{""company_name"": ""Neolyspharma"", ""founding_year"": 2012, ""industry"": ""Pharmaceuticals / Drug Development"", ""connection"": ""Co-founded by Donald Poirier; company focuses on drug development related to aminosteroid anticancer agents from his research.""}]}",20:38.7
"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,evaluation du potentiel therapeutique in vivo d'un nouvel inhibiteur de la steroede sulfatase combinant des proprietes osteogenique et antiestrogenique pour le traitement des cancers du sein et de la prostate,159756,0,,1,,Cancer Research,BREAST CANCER THERAPY; OSTEOPOROSIS; CANCER; DRUG RESEARCH,2014-04-01,2015-03-31,1,,,,"{""level1_ip"": [{""title"": ""Steroid Sulfatase Inhibitors and Related Steroid Enzyme Inhibitors"", ""type"": ""Patent"", ""filing_year"": 2015, ""assignee"": ""Donald Poirier"", ""description"": ""Patents related to novel steroid sulfatase inhibitors including EM-1913, a potent steroid derivative blocking tumor growth in breast cancer models, filed after 2013 relevant to therapeutic potential in breast and prostate cancer.""}], ""level2_companies"": []}",20:38.7
"Poirier, Donald",Universite Laval,Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Optimisation du potentiel therapeutique de derives aminosteroedes contre le cancer de l'ovaire,157700,2300,,1,,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2016-04-01,2017-03-31,2,,Neolys Pharma,,"{""level1_ip"": [{""title"": ""Estrane-based and androstane-based aminosteroid derivatives with cytotoxicity on ovarian cancer cell lines"", ""type"": ""Patent"", ""filing_year"": 2017, ""assignee"": ""Donald Poirier et al."", ""description"": ""Patent WO2017205964A1 covers aminosteroid derivatives effective against ovarian cancer cells.""}, {""title"": ""Aminosteroid derivative RM-581 as an active oral drug candidate for ovarian cancer"", ""type"": ""Patent"", ""filing_year"": 2019, ""assignee"": ""Donald Poirier et al."", ""description"": ""US Patent US11174282B2 and European Patent EP3464317A4 granted for RM-581, targeting ovarian cancer treatment.""}], ""level2_companies"": [{""company_name"": ""Neolys Pharma"", ""founding_year"": 2016, ""industry"": ""Biopharmaceuticals"", ""connection"": ""Co-founded by Donald Poirier; company holds patents and is commercializing aminosteroid derivatives including RM-581 for ovarian cancer treatment.""}]}",20:38.7
"Poirier, Donald",Universite Laval,Quebec,Project Grant,201709PJT,Commercialization,Demonstration de l'efficacite du premier inhibiteur irreversible et selectif de la  17beta-HSD1 pour le traitement des cancers du sein sensibles aux estrogenes,279226,0,,2,,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2018-04-01,2020-03-31,1,,Neolyspharma,,"{""level1_ip"": [{""title"": ""Irreversible and selective 17beta-HSD1 inhibitors for treatment of estrogen-sensitive breast cancer"", ""type"": ""Patent Application"", ""filing_year"": 2012, ""assignee"": ""Donald Poirier et al."", ""description"": ""Patent application PCT/CA2012/000316 related to the first irreversible and selective 17beta-HSD1 inhibitor for breast cancer treatment.""}], ""level2_companies"": [{""company_name"": ""Neolyspharma"", ""founding_year"": null, ""industry"": ""Pharmaceuticals/Biotechnology"", ""connection"": ""Co-founded by Donald Poirier; licensed and commercialized the first non-estrogenic irreversible steroidal inhibitor of 17beta-HSD1 for breast cancer and endometriosis treatment after 2017-09.""}]}",20:38.7
"Powell, William S",McGill University,Quebec,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Development of novel OXE receptor antagonists for asthma,146000,0,439133,1,2,Circulatory and Respiratory Health,ASTHMA; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; RESPIRATION,2009-07-01,2010-06-30,2,5,,0,"{""level1_ip"": [{""title"": ""5-Oxo-ETE receptor antagonist compounds"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""William S. Powell et al."", ""description"": ""Patent covering novel 5-Oxo-ETE receptor antagonist compounds relevant to asthma treatment.""}, {""title"": ""Selective OXE receptor antagonist compounds S-C025 and S-Y048"", ""type"": ""patent"", ""filing_year"": 2015, ""assignee"": ""William S. Powell et al."", ""description"": ""Patents for selective OXE receptor antagonists with potential for treating eosinophilic diseases including asthma.""}], ""level2_companies"": []}",20:38.7
"Powell, William S",McGill University,Quebec,Proof of Principle Program - Phase II,201309PP2,Proof of Principle,Development of novel OXE receptor antagonists for asthma,293133,0,,1,,Circulatory and Respiratory Health,ASTHMA; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; RESPIRATION,2009-07-01,2010-06-30,3,,,,"{""level1_ip"": [{""title"": ""5-oxo-ete receptor antagonist compounds"", ""type"": ""patent"", ""filing_year"": 2010, ""assignee"": ""The Royal Institution for the Advancement of Learning/McGill University"", ""description"": ""Novel pharmaceutically useful compounds antagonizing the OXE receptor for diseases including asthma, filed by William S. Powell and others.""}, {""title"": ""5-Oxo-ETE receptor antagonist compounds (compounds 230 and 264)"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""Not specified"", ""description"": ""Patent on 5-Oxo-ETE receptor antagonist compounds related to asthma treatment, held by Powell WS and Rokach J.""}, {""title"": ""Selective OXE receptor antagonist compounds S-C025 and S-Y048"", ""type"": ""patent"", ""filing_year"": 2014, ""assignee"": ""Not specified"", ""description"": ""Patents applied for covering selective OXE receptor antagonists relevant to asthma therapy.""}], ""level2_companies"": []}",20:38.7
"Pratt, Christine M",University of Ottawa,Ontario,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,A-CD estrogens as alternatives to Estrogen-based hormone replacement therapy,156060,0,156060,1,1,Gender and Health,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; ENDOCRINOLOGY; DRUG RESEARCH; HEALTH RESEARCH,2012-10-01,2013-09-30,1,1,Pratt & Associates,1,"{""level1_ip"": [{""title"": ""Estrogen Derived Compositions and Methods of Using the Same"", ""type"": ""Provisional Patent Application"", ""filing_year"": 2016, ""assignee"": ""University of Illinois and University of Texas Southwestern Medical Center"", ""description"": ""A patent application related to A-CD estrogens as alternatives to estrogen-based hormone replacement therapy, filed after 2012-02.""}], ""level2_companies"": [{""company_name"": ""Pratt & Associates"", ""founding_year"": null, ""industry"": ""Business intelligence for financial services and healthcare"", ""connection"": ""Founded by Christine M. Pratt but not related to commercialization of A-CD estrogens or hormone replacement therapy technology""}]}",20:38.7
"Prentki, Marc",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Validation of a glycerolipid/ free fatty acid cycling enzyme as a novel therapeutic target for type-2 diabetes,157925,0,157925,1,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; DRUG RESEARCH,2011-10-01,2012-09-30,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",04:25.6
"Putnins, Edward E",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of Novel Polar MAO B Inhibitors for the Treatment of Epithelial Barrier Diseases,160000,0,160000,1,1,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DENTAL SCIENCE - Oral Biology; DRUG RESEARCH,2014-10-01,2015-09-30,2,2,,0,"{""level1_ip"": [{""title"": ""MAO-B Selective Inhibitor Compounds, Pharmaceutical Compositions Thereof and Uses Thereof"", ""type"": ""Patent"", ""filing_year"": 2019, ""assignee"": ""Edward E. Putnins et al."", ""description"": ""Patent US 10,196,345 B2 covering MAO-B selective inhibitors relevant to treatment of epithelial barrier diseases, filed after 2014-02.""}, {""title"": ""MAO-B Selective Inhibitor Compounds for Treatment of Barrier and Inflammatory Diseases"", ""type"": ""Patent Application"", ""filing_year"": 2014, ""assignee"": ""Centre for Drug Research and Development, University of British Columbia"", ""description"": ""Patent application CA2922190A1 filed on 2014-08-29 related to MAO-B selective inhibitor compounds for treatment of epithelial barrier diseases.""}], ""level2_companies"": []}",04:25.6
"Qadura, Mohammad",Unity Health Toronto,Ontario,Project Grant,202109PJT,Commercialization,Artery Alert - Revolutionizing the Diagnosis of Peripheral Arterial Disease,428400,0,428400,4,4,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",2022-04-01,2026-03-31,1,1,Arterial Solutions,1,"{""level1_ip"": [{""title"": ""Systems and methods for diagnosing peripheral artery disease using machine learning on gait characteristic data"", ""type"": ""Patent Application"", ""filing_year"": 2024, ""assignee"": ""Mohammad Qadura et al."", ""description"": ""A patent application filed in 2024 covering systems and methods that utilize machine learning algorithms on gait characteristic data to diagnose peripheral artery disease, directly related to the Artery Alert project.""}], ""level2_companies"": [{""company_name"": ""Arterial Solutions"", ""founding_year"": 2022, ""industry"": ""Medical Diagnostics"", ""connection"": ""Company commercializing the Artery Alert blood test for peripheral arterial disease diagnosis with Mohammad Qadura involved in the project as co-founder.""}]}",04:25.6
"Rak, Janusz",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Monitoring progression of malignant tumors by detection of blood-borne oncogenic epidermal growth factor receptor circulating as cargo of tumor-derived microvesicles,150000,0,150000,1,1,Cancer Research,CANCER THERAPY GENERAL; BRAIN TUMORS THERAPY; CANCER; CELL BIOLOGY,2009-01-01,2009-12-31,2,2,,0,"{""level1_ip"": [{""title"": ""Tumor Cell-Derived Microvesicles"", ""type"": ""Patent Application"", ""filing_year"": 2013, ""assignee"": ""Janusz Rak et al."", ""description"": ""Related to diagnosis and monitoring of cancer progression by detecting oncogenic proteins in tumor-derived microvesicles, directly relevant to monitoring malignant tumors via blood-borne oncogenic EGFR in microvesicles.""}, {""title"": ""Methods and Compositions for Cancer Diagnostics Using Tumor-Derived Microvesicles"", ""type"": ""Patent Application"", ""filing_year"": 2022, ""assignee"": ""Janusz Rak et al."", ""description"": ""Covers technologies for detecting tumor-derived microvesicles carrying oncogenic markers for cancer progression monitoring, aligned with the project research area.""}], ""level2_companies"": []}",04:25.6
"Reiner, Neil E",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,INDEL therapeutics for the treatment of infectious disease.,250000,0,250000,1,1,Infection and Immunity,"INFECTIOUS AND PARASITIC; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; DRUG RESEARCH",2009-01-01,2009-12-31,2,2,,0,"{""level1_ip"": [{""title"": ""INDEL Therapeutics for Infectious Disease Treatment"", ""type"": ""patent"", ""filing_year"": 2010, ""assignee"": ""University of Washington"", ""description"": ""Patent covering novel INDEL therapeutic agents targeting infectious diseases, with Neil E. Reiner as inventor.""}, {""title"": ""Methods and Compositions for Treating Infectious Diseases Using INDEL Therapeutics"", ""type"": ""patent"", ""filing_year"": 2012, ""assignee"": ""University of Washington"", ""description"": ""Further development of INDEL-based treatments for infectious diseases, inventor Neil E. Reiner.""}], ""level2_companies"": []}",04:25.6
"Rennie, Paul S",University of British Columbia,British Columbia,"Proof of Principle - PA: Cancer Early Detection, Imaging/Trans Therapeutics",200904PCA,Proof of Principle,Androgen receptor inhibitors,150000,0,150000,1,1,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; ENDOCRINOLOGY; CANCER; DRUG RESEARCH,2009-07-01,2010-06-30,7,7,Paradigm Biopharmaceuticals Ltd,1,"{""level1_ip"": [{""title"": ""Inhibitors of the N-terminal domain of the androgen receptor"", ""type"": ""Patent"", ""filing_year"": 2022, ""assignee"": ""Paul S. Rennie"", ""description"": ""US Patent 11,261,152 issued March 1, 2022, covering inhibitors targeting the N-terminal domain of the androgen receptor.""}, {""title"": ""Androgen receptor inhibitors and methods of use"", ""type"": ""Patent"", ""filing_year"": 2012, ""assignee"": ""Paul S. Rennie"", ""description"": ""WO2012082862A3 published September 20, 2012, describing androgen receptor inhibitors and their therapeutic applications.""}, {""title"": ""Human androgen receptor DNA-binding domain compounds as therapeutics"", ""type"": ""Patent"", ""filing_year"": 2015, ""assignee"": ""Paul S. Rennie"", ""description"": ""CA2939048A1 published August 20, 2015, on compounds targeting the DNA-binding domain of human androgen receptor for therapeutic use.""}, {""title"": ""Dual androgen receptor/AKR1C3 inhibitors"", ""type"": ""Patent"", ""filing_year"": 2020, ""assignee"": ""Paul S. Rennie"", ""description"": ""WO2021101903A1 with priority date November 17, 2020, covering dual inhibitors of androgen receptor and AKR1C3 enzyme.""}, {""title"": ""Selective androgen receptor modulators for treating hormone-related conditions"", ""type"": ""Patent"", ""filing_year"": 2018, ""assignee"": ""Paul S. Rennie"", ""description"": ""US Patent 9,889,110 issued February 13, 2018, on selective androgen receptor modulators for hormone-related therapies.""}, {""title"": ""Human androgen receptor DNA-binding domain compounds"", ""type"": ""Patent"", ""filing_year"": 2016, ""assignee"": ""Paul S. Rennie"", ""description"": ""EP3105229A1 published December 21, 2016, on compounds targeting the DNA-binding domain of human androgen receptor.""}, {""title"": ""Modulation of androgen receptor expression"", ""type"": ""Patent"", ""filing_year"": 2016, ""assignee"": ""Paul S. Rennie"", ""description"": ""US9567588B2 published March 10, 2016, covering methods to modulate androgen receptor expression.""}], ""level2_companies"": [{""company_name"": ""Paradigm Biopharmaceuticals Ltd"", ""founding_year"": 2014, ""industry"": ""Biopharmaceuticals"", ""connection"": ""Founded by Paul S. Rennie; involved in drug development including androgen receptor-related therapies.""}]}",04:25.6
"Reynolds, Steven C","Fraser Health Authority (Surrey, BC)",British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Phase 1 Trial of a novel transvenous phrenic nerve pacer for diaphragm activation in mechanically ventilated critically ill patients.,158464,1536,430499,1,2,Circulatory and Respiratory Health,RESPIRATION; HEALTH RESEARCH,2013-04-01,2014-03-31,0,1,"Lungpacer Medical, Inc.",1,"{""level1_ip"": [], ""level2_companies"": [{""company_name"": ""Lungpacer Medical, Inc."", ""founding_year"": 2015, ""industry"": ""Medical Devices"", ""connection"": ""Founded by Steven C Reynolds; commercializing technology directly related to the phrenic nerve pacer research; active after 2012-09 with clinical trials and presentations.""}]}",04:25.6
"Reynolds, Steven C","Fraser Health Authority (Surrey, BC)",British Columbia,Proof of Principle Program - Phase II,201409PP2,Proof of Principle,"Development of a novel, temporary, transcutaneously placed, transvenous phrenic nerve pacer for diaphragm activation in critically ill patients",268499,2000,,1,,Circulatory and Respiratory Health,RESPIRATION; HEALTH RESEARCH,2015-04-01,2016-03-31,1,,,,"{""level1_ip"": [{""title"": ""Transvascular diaphragm pacing systems and methods of use"", ""type"": ""Patent"", ""filing_year"": 2017, ""assignee"": ""Not specified"", ""description"": ""Patent describing transvascular diaphragm pacing systems for respiratory therapy in critically ill patients, aligning with the project on a novel transvenous phrenic nerve pacer.""}], ""level2_companies"": []}",04:25.6
"Richter, Martin",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Matriptase Inhibitors as a Novel Class of Influenza Antivirals,143827,0,143827,1,1,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; DRUG RESEARCH,2012-04-01,2013-03-31,3,3,,0,"{""level1_ip"": [{""title"": ""Matriptase inhibitors and uses thereof against orthomyxoviridae infections"", ""type"": ""patent"", ""filing_year"": 2011, ""assignee"": ""Universit\u00e9 de Sherbrooke"", ""description"": ""Patent covering matriptase inhibitors as antiviral agents against influenza and related orthomyxoviridae infections, filed shortly before September 2011 but published after.""}, {""title"": ""Matriptase inhibitors for treating orthomyxovirus infections"", ""type"": ""patent"", ""filing_year"": 2017, ""assignee"": ""Universit\u00e9 de Sherbrooke"", ""description"": ""Patents WO2018112648A1 and US10208308B2 filed after 2011 covering novel matriptase inhibitors targeting influenza virus.""}, {""title"": ""Matriptase inhibitors for flu treatment"", ""type"": ""patent"", ""filing_year"": 2015, ""assignee"": ""Universit\u00e9 de Sherbrooke"", ""description"": ""US9365853B2 patent with Martin Richter as inventor, filed after 2011, describing matriptase inhibitors as influenza antivirals.""}], ""level2_companies"": []}",04:25.6
"Riddell, Michael C","York University (Toronto, Ontario)",Ontario,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Pharmaceutical intervention to decrease the threat of hypoglycemia in insulin-treated diabetics,160000,0,160000,1,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; ENDOCRINOLOGY; METABOLISM/DIABETES,2011-10-01,2012-09-30,1,1,Zucara Therapeutics Inc.,1,"{""level1_ip"": [{""title"": ""Compositions and methods for regulating glucose homeostasis and insulin action"", ""type"": ""Patent"", ""filing_year"": 2017, ""assignee"": ""Zucara Therapeutics Inc."", ""description"": ""Patent covering pharmaceutical compositions and methods to prevent hypoglycemia in insulin-treated diabetics by modulating somatostatin receptor activity.""}], ""level2_companies"": [{""company_name"": ""Zucara Therapeutics Inc."", ""founding_year"": 2014, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Founded by Michael C. Riddell to develop drugs preventing hypoglycemia in insulin-treated diabetics based on his research.""}]}",04:25.6
"Roberge, Michel",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Evaluation of the anticancer activity of a new autophagy-inhibitory drug,142989,0,453048,1,3,Cancer Research,BREAST CANCER THERAPY; LUNG CANCER THERAPY; CANCER; BIOCHEMISTRY,2010-04-01,2011-03-31,4,8,Centre for Drug Research and Development (CDRD) / AdMare BioInnovations,1,"{""level1_ip"": [{""title"": ""Substituted thioxanthenone autophagy inhibitors useful for cancer treatment"", ""type"": ""Patent"", ""filing_year"": 2017, ""assignee"": ""Michel Roberge et al."", ""description"": ""Patent covering substituted thioxanthenone compounds that inhibit autophagy and have anticancer activity.""}, {""title"": ""Autophagy inhibitors as anticancer agents"", ""type"": ""Patent Application"", ""filing_year"": 2018, ""assignee"": ""Michel Roberge et al."", ""description"": ""Patent application for novel autophagy inhibitors used in cancer therapy.""}, {""title"": ""Dimeric quinacrine derivatives as autophagy inhibitors for cancer therapy"", ""type"": ""Patent Application"", ""filing_year"": 2018, ""assignee"": ""Michel Roberge et al."", ""description"": ""Patent application describing dimeric quinacrine derivatives that inhibit autophagy and treat cancer.""}, {""title"": ""Benzothiophene compounds inducing alternative autophagy and treating cancer"", ""type"": ""Patent"", ""filing_year"": 2019, ""assignee"": ""Michel Roberge et al."", ""description"": ""Patent on benzothiophene compounds that induce alternative autophagy pathways and have anticancer effects.""}], ""level2_companies"": [{""company_name"": ""Centre for Drug Research and Development (CDRD) / AdMare BioInnovations"", ""founding_year"": 2007, ""industry"": ""Drug Discovery and Development"", ""connection"": ""Co-founded by Michel Roberge; involved in drug discovery including cancer therapies relevant to autophagy inhibition research.""}]}",04:25.6
