Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,normalized_Project_Title
"Qadura, Mohammad",Unity Health Toronto,Project Grant,202109PJT,Commercialization,Artery Alert - Revolutionizing the Diagnosis of Peripheral Arterial Disease,"$428,400",$0,4 yrs 0 mth ,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",2022-04-01,2026-03-31,artery alert revolutionizing the diagnosis of peripheral arterial disease
"Dutta, Tilak",University Health Network (Toronto),Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Pressure ulcer prevention: a novel prompting system for patient repositioning,"$137,401",$0,1 yr 0 mth ,Aging,SKIN AND SUBCUTANEOUS TISSUS; MULTIPLE DISEASE RELEVANCE; AGING; GERIATRICS,2016-04-01,2017-03-31,pressure ulcer prevention a novel prompting system for patient repositioning
"Poirier, Donald",Universite Laval,Project Grant,201709PJT,Commercialization,Demonstration de l'efficacite du premier inhibiteur irreversible et selectif de la  17beta-HSD1 pour le traitement des cancers du sein sensibles aux estrogenes,"$279,226",$0,2 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2018-04-01,2020-03-31,demonstration de lefficacite du premier inhibiteur irreversible et selectif de la 17betahsd1 pour le traitement des cancers du sein sensibles aux estrogenes
"Schang, Luis M",University of Alberta,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Novel Inhibitors of Viral Infectivity,"$150,000",$0,1 yr 0 mth ,Infection and Immunity,VIRAL; LIVER DISEASE; VIROLOGY; GASTROINTESTINAL (LIVER),2009-07-01,2010-06-30,novel inhibitors of viral infectivity
"Kizhakkedathu, Jayachandran N",University of British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Novel Polymer Based Glucose-sparing Peritoneal Dialysis Solutions for End-stage Renal Disease,"$160,000",$0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes","RENAL FUNCTION, NEPHROLOGY, UROLOGY",2012-10-01,2013-09-30,novel polymer based glucosesparing peritoneal dialysis solutions for endstage renal disease
"Sutherland, Garnette R",University of Calgary,Project Grant,201709PJT,Commercialization,The SmartForceps System: An intelligent and innovative tool technology for recording surgical performance and skill,"$520,200",$0,3 yrs 0 mth ,Health Services and Policy Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Health Services and Systems-Healthcare Safety & Quality Improvement",2018-04-01,2021-03-31,the smartforceps system an intelligent and innovative tool technology for recording surgical performance and skill
"Lubell, William D",Universite de Montreal,Project Grant,202209PJT,Commercialization,"Treating Age-Related Macular Degeneration by Mitigating Inflammation, Oxidative Stress, and Lipid Accumulation through CD36 Modulation","$833,851",$0,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Commercialization-Industry Research & Development; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Aging-Geriatric Medicine and Health Sciences",2023-04-01,2026-03-31,treating agerelated macular degeneration by mitigating inflammation oxidative stress and lipid accumulation through cd36 modulation
"Chan, Tak Hang",McGill University,Proof of Principle Program - Phase II,201109PP2,Proof of Principle,Evaluation of novel flavonoids in models of hematological cancer,"$300,000",$0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,2012-04-01,2013-03-31,evaluation of novel flavonoids in models of hematological cancer
"Cummins, Carolyn L",University of Toronto,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Developing a Novel Therapeutic for Cushing's Syndrome,"$160,000",$0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",ENDOCRINOLOGY; MUSCULO SKELETAL; DRUG RESEARCH,2014-04-01,2015-03-31,developing a novel therapeutic for cushings syndrome
"Boerkoel, Cornelius F",University of British Columbia,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Development of Tdp1 inhibitors for treating cancer,"$159,927",$0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,2011-10-01,2012-09-30,development of tdp1 inhibitors for treating cancer
"Jaffray, David A",University Health Network (Toronto),Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Advanced Handheld SPECT System for Intraoperative Guidance,"$159,845",$0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER,2014-10-01,2015-09-30,advanced handheld spect system for intraoperative guidance
"Agrawal, Babita",University of Alberta,Project Grant,201903PJT,Commercialization,Development of a novel universal (cross-protective) vaccine technology for influenza viruses,"$367,200",$0,3 yrs 0 mth ,Infection and Immunity,"Commercialization-Intellectual Property; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines)",2019-10-01,2022-09-30,development of a novel universal crossprotective vaccine technology for influenza viruses
"Greer, John J",University of Alberta,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,Ampakine Therapy for Alleviating Respiratory Depression,"$145,440",$0,1 yr 0 mth ,Circulatory and Respiratory Health,RESPIRATION; NONE OF THE ABOVE; NERVOUS SYSTEM,2015-10-01,2016-09-30,ampakine therapy for alleviating respiratory depression
"Mes-Masson, Anne-Marie",Centre hospitalier de l'Universite de Montreal (CHUM),Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Development and validation of a multiplex blood-based assay for the early detection of ovarian cancer.,"$160,000",$0,1 yr 0 mth ,Cancer Research,GENITO/URINARY SYSTEM; NEOPLASMS; CANCER; HEALTH RESEARCH,2010-10-01,2011-09-30,development and validation of a multiplex bloodbased assay for the early detection of ovarian cancer
"Dacosta, Ralph S",University Health Network (Toronto),Proof of Principle Program - Phase I,201102PPP,Proof of Principle,"Development of PRODIGI, a Handheld Optical Imaging Technology for Real-time Intraoperative-guidance of Breast Tumour Resection","$121,250","$24,000",1 yr 0 mth ,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; IMAGING; CANCER,2011-10-01,2012-09-30,development of prodigi a handheld optical imaging technology for realtime intraoperativeguidance of breast tumour resection
"Kazem-Moussavi, Zahra M",University of Manitoba,Project Grant,201803PJT,Commercialization,Acoustical Device for Obstructive Sleep Apnea Severity Prediction during Wakefulness,"$367,200",$0,3 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Health Determinants-Etiology of Disease and Conditions",2018-10-01,2021-09-30,acoustical device for obstructive sleep apnea severity prediction during wakefulness
"Williams, Jason",Nova Scotia Health Authority (Halifax),Proof of Principle Program - Phase II,201309PP2,Proof of Principle,The Production of Decellularized Human Skin to Treat Chronic Diabetic Ulcers,"$145,760",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,DIABETES MELLITUS; SKIN AND SUBCUTANEOUS TISSUS; HEALTH RESEARCH; METABOLISM/DIABETES,2014-04-01,2015-03-31,the production of decellularized human skin to treat chronic diabetic ulcers
"Lam, Stephen",University of British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,CTAP III for detection of early lung cancer and monitoring treatment outcome,"$160,000",$0,1 yr 0 mth ,Cancer Research,LUNG CANCER; CANCER,2010-10-01,2011-09-30,ctap iii for detection of early lung cancer and monitoring treatment outcome
"Weaver, Donald F",IWK Health Centre (Halifax),Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Pharmacokinetic Optimization of a New Drug for Alzheimer's Disease,"$150,000",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; NERVOUS SYSTEM,2010-04-01,2011-03-31,pharmacokinetic optimization of a new drug for alzheimers disease
"Brodt, Pnina",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,An IGF-Trap for the treatment of breast cancer: consolidation of the pre-clinical profile and commercialization.,"$299,934",$0,1 yr 0 mth ,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; CANCER; DRUG RESEARCH,2015-10-01,2016-09-30,an igftrap for the treatment of breast cancer consolidation of the preclinical profile and commercialization
"Houde, Daniel",Universite de Sherbrooke,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Radiotherapie par filamentation laser femtoseconde,"$112,602",$0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; BRAIN TUMORS THERAPY; CANCER; BIOPHYSICS,2011-04-01,2012-03-31,radiotherapie par filamentation laser femtoseconde
"Kremer, Richard B",Research Institute of the McGill University Health Centre,Project Grant,202209PJT,Commercialization,Anti-parathyroid hormone-related protein (PTHrP) monoclonal antibodies against metastatic cancer,"$665,550",$0,3 yrs 0 mth ,Cancer Research,"Commercialization-Technology Transfer; Musculoskeletal Health-Bone, Skin and Cartilage Sciences; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2023-04-01,2026-03-31,antiparathyroid hormonerelated protein pthrp monoclonal antibodies against metastatic cancer
"Hassell, John A",McMaster University,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Characterization of small molecule sensitizers to chemotherapy,"$160,000",$0,1 yr 0 mth ,Cancer Research,BREAST CANCER THERAPY; BREAST CANCER; CANCER; DRUG RESEARCH,2012-04-01,2013-03-31,characterization of small molecule sensitizers to chemotherapy
"Yousef, George M",Unity Health Toronto,Project Grant,201809PJT,Commercialization,Development of the first pre-operative serum exosomal miRNA test to guide treatment decision in prostate cancer,"$573,752",$0,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,2019-04-01,2023-03-31,development of the first preoperative serum exosomal mirna test to guide treatment decision in prostate cancer
"Wang, Yuzhuo",University of British Columbia,Project Grant,202109PJT,Commercialization,Optimization and Validation of MCT4-targeting Small Molecule Inhibitors for Treatment of Advanced Cancers,"$1,147,500",$0,5 yrs 0 mth ,Cancer Research,Commercialization-Intellectual Property; Cancer-Cancer Drug Development and Therapeutics,2022-04-01,2027-03-31,optimization and validation of mct4targeting small molecule inhibitors for treatment of advanced cancers
"Reiner, Neil E",University of British Columbia,Proof of Principle Program - Phase II,200810PP2,Proof of Principle,INDEL therapeutics for the treatment of infectious disease.,"$250,000",$0,1 yr 0 mth ,Infection and Immunity,"INFECTIOUS AND PARASITIC; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; DRUG RESEARCH",2009-01-01,2009-12-31,indel therapeutics for the treatment of infectious disease
"Biddiss, Elaine A",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Project Grant,201909PJT,Commercialization,"BootleBlast, a movement tracking video game for home-based motor therapy - Navigating gaps to market readiness","$409,276",$0,3 yrs 0 mth ,"Human Development, Child and Youth Health",Commercialization-Technology Transfer,2020-04-01,2023-03-31,bootleblast a movement tracking video game for homebased motor therapy navigating gaps to market readiness
"Nepveu, Alain",McGill University,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Validation of the CUX1 Expression Signature as an RT-PCR-Based Prognostic Tool,"$159,950",$0,1 yr 0 mth ,Cancer Research,BREAST CANCER; NEOPLASMS; CANCER; MOLECULAR BIOLOGY,2011-04-01,2012-03-31,validation of the cux1 expression signature as an rtpcrbased prognostic tool
"Meek, Robert N",University of British Columbia,Proof of Principle Program - Phase II,201302PP2,Proof of Principle,Minimally Invasive Curved Intramedullary Fixation (MICIF) for pelvic bone fractures,"$300,000",$0,1 yr 0 mth ,Health Services and Policy Research,"NONE OF THE ABOVE; MUSCLE, BONE, OR JOINT; HEALTH RESEARCH",2013-10-01,2014-09-30,minimally invasive curved intramedullary fixation micif for pelvic bone fractures
"Moreau, Alain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Methods of Diagnosing Primary Osteoarthritis,"$160,000",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; CELL BIOLOGY",2011-04-01,2012-03-31,methods of diagnosing primary osteoarthritis
"Riddell, Michael C","York University (Toronto, Ontario)",Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Pharmaceutical intervention to decrease the threat of hypoglycemia in insulin-treated diabetics,"$160,000",$0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; ENDOCRINOLOGY; METABOLISM/DIABETES,2011-10-01,2012-09-30,pharmaceutical intervention to decrease the threat of hypoglycemia in insulintreated diabetics
"Slim, Rima",McGill University,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,NLRP7-based diagnosis of female reproduction wastage,"$160,000",$0,1 yr 0 mth ,Genetics,PREGNANCY/BIRTH; PERINATAL; GENETICS; REPRODUCTION/PREGNANCY,2012-10-01,2013-09-30,nlrp7based diagnosis of female reproduction wastage
"Kastrup, Christian J",University of British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Self-Propelling Hemostatic Particles that Treat Severe Bleeding,"$159,788",$0,1 yr 0 mth ,Circulatory and Respiratory Health,CLOTTING DEFECTS/THROMBOSIS; PREGNANCY/BIRTH; CARDIOVASCULAR; BLOOD,2014-10-01,2015-09-30,selfpropelling hemostatic particles that treat severe bleeding
"Burt, Helen M",University of British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Intravesical Taxanes,"$157,412",$0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; DRUG RESEARCH,2012-04-01,2013-03-31,intravesical taxanes
"Stagljar, Igor",University of Toronto,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,"Development of the Mammalian Membrane Two-Hybrid (MaMTH) technology, a novel protein interaction and drug discovery tool","$160,000",$0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; MULTIPLE DISEASE RELEVANCE; MOLECULAR BIOLOGY; BIOCHEMISTRY,2013-04-01,2014-03-31,development of the mammalian membrane twohybrid mamth technology a novel protein interaction and drug discovery tool
"Kizhakkedathu, Jayachandran N",University of British Columbia,Project Grant,202010PJT,Commercialization,Novel Infection Resistant Coating in an Era of Drug Resistant Bacteria for the Treatment and Prevention of Medical Device Infection,"$520,199",$0,3 yrs 0 mth ,Infection and Immunity,"Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",2021-04-01,2024-03-31,novel infection resistant coating in an era of drug resistant bacteria for the treatment and prevention of medical device infection
"Brinkman, Ryan",University of British Columbia,Project Grant,201909PJT,Commercialization,Machine Learning for Flow Cytometry Clinical Data and Trial Analysis,"$317,475",$0,1 yr 10 mths ,Infection and Immunity,Commercialization-Technology Transfer; Methods Development and Modelling-Quantitative Methods Development for Health Research,2020-04-01,2022-01-31,machine learning for flow cytometry clinical data and trial analysis
"Roberge, Michel",University of British Columbia,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Preclinical evaluation of a gentamicin analog as a treatment for genetic diseases and cancer due to a premature termination codon.,"$150,059",$0,1 yr 0 mth ,Genetics,MULTIPLE DISEASE RELEVANCE; CANCER THERAPY GENERAL; CANCER; GENETICS,2016-04-01,2017-03-31,preclinical evaluation of a gentamicin analog as a treatment for genetic diseases and cancer due to a premature termination codon
"Mueller, Christopher R","Queen's University (Kingston, Ontario)",Project Grant,202209PJT,Commercialization,Using a Liquid Biopsy to Optimize Metastatic Breast Cancer Treatment,"$891,226",$0,3 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Clinical Oncology; Commercialization-Industry Research & Development,2023-04-01,2026-03-31,using a liquid biopsy to optimize metastatic breast cancer treatment
"Fernie, Geoffrey R",University Health Network (Toronto),Proof of Principle Program - Phase II,201202PP2,Proof of Principle,A novel point-of-care method of handling human waste in healthcare institutions: technical improvements and evaluation.,"$51,544",$0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; NONE OF THE ABOVE; NOT CLASSIFIED,2012-10-01,2013-09-30,a novel pointofcare method of handling human waste in healthcare institutions technical improvements and evaluation
"Liu, Fang",Centre for Addiction and Mental Health (Toronto),Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Therapeutics targeting receptor-receptor interactions for Addiction,"$150,000",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DRUG RESEARCH; MENTAL HEALTH,2010-04-01,2011-03-31,therapeutics targeting receptorreceptor interactions for addiction
"Garnis, Cathie",University of British Columbia,Project Grant,202309PJT,Commercialization,Blood based biomarker for the early detection of recurrent oropharyngeal cancer,"$474,300",$0,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Clinical Oncology,2024-04-01,2028-03-31,blood based biomarker for the early detection of recurrent oropharyngeal cancer
"Chen, Yen-I",Research Institute of the McGill University Health Centre,Project Grant,202309PJT,Commercialization,A novel through-the-scope exchangeable double balloon catheter to guide endoscopic bypass:  a practice-changing technology in the management of malignant gastric outlet obstruction,"$451,350",$0,2 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",,2024-03-01,2025-02-28,a novel throughthescope exchangeable double balloon catheter to guide endoscopic bypass a practicechanging technology in the management of malignant gastric outlet obstruction
"Wu, Jian Hui",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Novel bifunctional antiandrogens that suppress oncogenic activation of the androgen receptor in castration-resistant prostate cancer,"$159,750",$0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; PROSTATE AND BLADDER CANCER THERAPY; CANCER; ENDOCRINOLOGY,2010-10-01,2011-09-30,novel bifunctional antiandrogens that suppress oncogenic activation of the androgen receptor in castrationresistant prostate cancer
"Tremblay, Michel L",McGill University,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Discovery and uses of a new class of small molecule inhibitors of tyrosine phosphatases.,"$158,850",$0,1 yr 0 mth ,Cancer Research,MULTIPLE DISEASE RELEVANCE; BREAST CANCER THERAPY; BIOCHEMISTRY; DRUG RESEARCH,2010-10-01,2011-09-30,discovery and uses of a new class of small molecule inhibitors of tyrosine phosphatases
"Nazhat, Showan N",McGill University,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Injectable dense collagen-silk fibroin derived polypeptide hydrogels for bone regenerative therapy,"$156,393",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; DENTAL DISEASE (INCL. ORAL BIOLOGY); MUSCLE, BONE, OR JOINT; AGING",2013-04-01,2014-03-31,injectable dense collagensilk fibroin derived polypeptide hydrogels for bone regenerative therapy
"Beg, Mirza Faisal","Simon Fraser University (Burnaby, B.C.)",Project Grant,202303PJT,Commercialization,Staging the host in Cancer: AI-based automated comprehensive body composition assessment for Precision Medicine,"$956,250",$0,3 yrs 0 mth ,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,2023-10-01,2026-09-30,staging the host in cancer aibased automated comprehensive body composition assessment for precision medicine
"Chemtob, Sylvain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Proof of Principle Program - Phase II,201003PP2,Proof of Principle,IL-1  Allosteramers to treat diabetes and its complications,"$300,000",$0,1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; METABOLISM/DIABETES; VISION,2010-10-01,2011-09-30,il1 allosteramers to treat diabetes and its complications
"Bell, John C",Ottawa Hospital Research Institute,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Increasing vaccine manufacturing output using viral sensitizer technology,"$136,750",$0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; HEALTH RESEARCH; VIROLOGY,2011-04-01,2012-03-31,increasing vaccine manufacturing output using viral sensitizer technology
"Leonardi, Mathew",McMaster University,Project Grant,202309PJT,Commercialization,Commercialization of a diagnostic test for endometriosis,"$634,949",$0,3 yrs 0 mth ,Gender and Health,"Sex-and-Gender Health-Sex-and-Gender-Based Analysis - Clinical, Health Systems and Population Health Research",2024-04-01,2027-03-31,commercialization of a diagnostic test for endometriosis
"Akbari, Mohsen",University of Victoria (British Columbia),Project Grant,202303PJT,Commercialization,Towards commercialization of GelDerm-a smart dressing for continuous wound monitoring,"$332,776",$0,2 yrs 0 mth ,Musculoskeletal Health and Arthritis,Commercialization-Industry Research & Development,2023-10-01,2025-09-30,towards commercialization of gelderma smart dressing for continuous wound monitoring
"Guertin, Pierre",Universite Laval,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,A Novel Class of Drug Treatment Against Chronic Constipation in Spinal Cord-Injured People,"$160,000",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",SPINAL CORD DISEASE; GASTRO-INTESTINAL DISEASE; NERVOUS SYSTEM; GASTROINTESTINAL (LIVER),2013-10-01,2014-09-30,a novel class of drug treatment against chronic constipation in spinal cordinjured people
"Minchinton, Andrew I",University of British Columbia,Project Grant,201903PJT,Commercialization,Hypoxia-activated DNA repair inhibitors to improve cancer therapy,"$573,750",$0,3 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2019-10-01,2022-09-30,hypoxiaactivated dna repair inhibitors to improve cancer therapy
"Poirier, Donald",Universite Laval,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,L'evaluation du potentiel therapeutique in vivo d'une nouvelle famille d'aminosteroides comme agents anticancereux selectifs,"$149,703",$0,1 yr 0 mth ,Cancer Research,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2010-04-01,2011-03-31,levaluation du potentiel therapeutique in vivo dune nouvelle famille daminosteroides comme agents anticancereux selectifs
"Park, Morag",McGill University,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Generation of a gene expression-based breast cancer prognostic device,"$73,500",$0,1 yr 0 mth ,Cancer Research,"BREAST CANCER; BREAST CANCER THERAPY; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2009-07-01,2010-06-30,generation of a gene expressionbased breast cancer prognostic device
"Boivin, Guy",Universite Laval,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,New antiviral agents against herpes simplex viruses,"$150,000",$0,1 yr 0 mth ,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; DRUG RESEARCH,2010-04-01,2011-03-31,new antiviral agents against herpes simplex viruses
"Frost, Eric H",Universite de Sherbrooke,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,"Simultaneous Influenza A detection, subtyping, and oseltamivir resistance determination","$95,000","$65,000",1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIPLE DISEASE RELEVANCE; VIROLOGY; HEALTH RESEARCH,2011-10-01,2012-09-30,simultaneous influenza a detection subtyping and oseltamivir resistance determination
"Hanrahan, John W",McGill University,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,CFTR modulators as a potential new therapeutic paradigm to treat individuals with COPD,"$159,665",$0,1 yr 0 mth ,Circulatory and Respiratory Health,CHRONIC OBSTRUCTIVE LUNG DISEASE; RESPIRATION; HEALTH RESEARCH,2014-10-01,2015-09-30,cftr modulators as a potential new therapeutic paradigm to treat individuals with copd
"Booth, Valerie K",Memorial University of Newfoundland,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,HLA Peptide Development as a Therapeutic for Psoriasis,"$156,920",$0,1 yr 0 mth ,Infection and Immunity,SKIN AND SUBCUTANEOUS TISSUS; BIOCHEMISTRY; DRUG RESEARCH,2011-04-01,2012-03-31,hla peptide development as a therapeutic for psoriasis
"Hunter, Graeme K",Western University (Ontario),Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Crystal-binding peptides for prevention of kidney stone disease,"$116,350","$6,000",1 yr 0 mth ,"Nutrition, Metabolism and Diabetes",GENITO/URINARY SYSTEM; ATHEROSCLEROSIS; DRUG RESEARCH; BIOPHYSICS,2009-07-01,2010-06-30,crystalbinding peptides for prevention of kidney stone disease
"Tavallaei, Mohammad A",Toronto Metropolitan University,Project Grant,202403PJT,Commercialization,Design Revisions and Validations of a Catheter Steering and Navigation System For Peripheral Endovascular Revascularization,"$501,076",$0,3 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",2024-10-01,2027-09-30,design revisions and validations of a catheter steering and navigation system for peripheral endovascular revascularization
"Cripton, Peter A",University of British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Pro-Neck-Tor: A helmet to prevent spinal cord injuries occuring during sports and transportation,"$149,752",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; NERVOUS SYSTEM",2009-07-01,2010-06-30,pronecktor a helmet to prevent spinal cord injuries occuring during sports and transportation
"Santamaria, Pere",University of Calgary,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Evaluation of Nanoparticles for the Treatment of Autoimmune Conditions,"$150,000",$0,1 yr 0 mth ,Infection and Immunity,ENDOCRINOLOGY; DIABETES MELLITUS; IMMUNOLOGY-TRANSPLANTATION; METABOLISM/DIABETES,2009-01-01,2009-12-31,evaluation of nanoparticles for the treatment of autoimmune conditions
"Drangova, Maria",Western University (Ontario),Project Grant,202010PJT,Commercialization,Contact-force controller to eliminate the effects of motion during cardiac radiofrequency ablation,"$367,200",$0,2 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",2021-04-01,2023-03-31,contactforce controller to eliminate the effects of motion during cardiac radiofrequency ablation
"Fenster, Aaron",Western University (Ontario),Proof of Principle Program - Phase I,201309PPP,Proof of Principle,3D Ultrasound Scanner System For Management Of Intraventricular Hemorrhage In Preterm Neonates,"$148,062",$0,1 yr 0 mth ,"Human Development, Child and Youth Health",MULTIDISCIPLINARY; NONE OF THE ABOVE; IMAGING; BIOPHYSICS,2014-04-01,2015-03-31,3d ultrasound scanner system for management of intraventricular hemorrhage in preterm neonates
"Banerjee, Diponkar",University of British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Validation of Tissue and Cytology Microarray Spotter (TCMS) for Simultaneous Multiple Biomarker Detection in Cells,"$150,000",$0,1 yr 0 mth ,Cancer Research,NEOPLASMS; NONE OF THE ABOVE; CANCER; MOLECULAR BIOLOGY,2009-01-01,2009-12-31,validation of tissue and cytology microarray spotter tcms for simultaneous multiple biomarker detection in cells
"Gatignol, Anne",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Development of antisense-based small RNA agents targeting the GAG open reading frame of HIV-1 RNA for use in gene and drug therapy against HIV-1 infection.,"$159,550",$0,1 yr 0 mth ,Infection and Immunity,AIDS; VIRAL; VIROLOGY; MOLECULAR BIOLOGY,2014-04-01,2015-03-31,development of antisensebased small rna agents targeting the gag open reading frame of hiv1 rna for use in gene and drug therapy against hiv1 infection
